"","screenname","tweets"
"703","vicissidude","Hey, look! @realDonaldTrump let @ChrisChristie stay on the stage this time! #trump #SuperTuesday #Election2016"
"704","JournOrBust","@ChrisChristie cashed in his #integrity to be a backdrop for @realDonaldTrump weird #Election2016 #PressConference https://t.co/WI8LnUzJgC"
"705","RedBlueUSNews","After @ChrisChristie Endorses @realDonaldTrump  Seven N.J. newspapers call on him to resign https://t.co/EQQC9xafib #usatoday #Election2016"
"706","seeliespright","Dear Republican America, please save us from Trump as a general election candidate! #trump #Election2016 @realDonaldTrump"
"707","GraemeLaberge","RT @pollenizeorg: Another state in the books! Last night we saw @realDonaldTrump and @BernieSanders win in New Hampshire #Election2016 http…"
"708","jdean1969","RT @RobMackoKLFY: The BR River Center is starting to fill up for Donald Trump rally. @KLFY @realDonaldTrump #trump #Election2016 https://t.…"
"709","SlackerMedic711","RT @RiskRewardFBN: .@KatrinaPierson on @realDonaldTrump and his speaking style #Election2016 @DeirdreBolton @FoxBusiness https://t.co/2KyVW…"
"710","ZiembaDenise","RT @RiskRewardFBN: .@KatrinaPierson on @realDonaldTrump and his speaking style #Election2016 @DeirdreBolton @FoxBusiness https://t.co/2KyVW…"
"711","mmeddki88557474","#news 7 things realDonaldTrump actually said Monday https://t.co/gEfAYsPQXP #Election2016"
"712","philmonaco67","RT @DogoodII: #Election2016 @JohnStossel
@realDonaldTrump
@tedcruz
@MarcoRubio_2016
@JebBush
@JohnKasich
@BenCarson2016
LIES NotOK https://…"
"713","GoykhmanAlla","RT @USAelection: @realDonaldTrump I vote for #Trump
because I was betrayed by Republicans or screwed by Democrats
#Election2016 #POLL
https…"
"714","DogoodII","@TrumpUSA2016 @SpeakerRyan @realDonaldTrump @marylene58 https://t.co/bSDpoJaXmB… #Election2016 To ALL Americans &lt; 30 https://t.co/cjhfxtnmI2"
"715","WWmorgan42","RT @PatriotCorner: Who takes the SC Primary.  Early polling. #Election2016 #SCPrimary @realDonaldTrump @tedcruz @marcorubio @JebBush"
"716","jonsoltz","Facts from @realDonaldTrump ""the world trade center came down under George W Bush &amp; there were no WMD in #Iraq"" #GOPDebate #Election2016"
"717","nightsinge","Trump on @FaceTheNation: ""I'm a rude asshole for the truth!'
#Election2016 
@realDonaldTrump"
"718","NJMike319","RT @DogoodII: @TrumpUSA2016 @SpeakerRyan @realDonaldTrump @marylene58 @JohnStossel #Election2016 
Obama WAOPP #1 B
ON PURPOSE USA? https://…"
"719","aaronsofaly","When Hollywood eventually makes the @realDonaldTrump movie it's going to be awesome #Election2016"
"720","KHEF_pilot","I fear @realDonaldTrump may be correct about the eligibility of @tedcruz.  #Election2016  https://t.co/KdFRd52Eoo"
"721","TW_nextmedia","<U+770B> #<U+5DDD><U+666E> <U+4E0D><U+723D><U+55CE><U+FF1F><U+300C><U+5439><U+5DDD><U+666E><U+300D>#kuso <U+7DB2><U+7AD9><U+8B93><U+4F60><U+6D29><U+6068>
https://t.co/ZnK8xfR0Po
#Election2016 #DonaldTrump @realDonaldTrump #TrumpDonald https://t.co/jnMjpC618B"
"722","mikebarker04","Geeze now @realDonaldTrump is feuding with the @Pontifex #Election2016"
"723","blaliberte23",".@nbcsnl skit of @Pontifex v @realDonaldTrump? #Election2016"
"724","theQfoo","How do celebrities get better legal treatment than veterans? @realDonaldTrump @SenSanders #Election2016"
"725","MLowwater","@realDonaldTrump 6.2 million vs 8.6 million for @Pontifex

Supposed Media Mogul loosing badly to Religious Leader on Twitter

#Election2016"
"726","ipunchrobots","@realDonaldTrump hey, Donny T! If you win #Election2016, will you #shave it off?"
"727","BigGator5","#Trump2016: A #SocialConservative Case 4 @realDonaldTrump Support https://t.co/AoekOIPpZt @roddreher #tcot #p2 #southcarolina #election2016"
"728","PracticallyGOP","Michael Reagan: #Trump not the #GOP of Ronald Reagan #http://ow.ly/YwdEh @reaganworld #republicans @realdonaldtrump #election2016 #politics"
"729","abcnewsCanberra","RT @abcnews: VIDEO: What happens when @realDonaldTrump meets Game of Thrones? #Election2016 #SCPrimary https://t.co/eBCXgZ3w4x https://t.co…"
"730","PigOnStilts","RT @KevinPiastra: How else could one describe it? @_AlexHirsch @DisneyXD @TheMysteryofGF @realDonaldTrump @RealGDT #true #Election2016 http…"
"731","Reagan_Girl",".@tedcruz @realDonaldTrump @marcorubio @foxnewspolitics @1100knzzGJ @cocommenter  @cologop #Election2016 #WakeUp https://t.co/8Jo5PyWpq8"
"732","JasonsGrandpa","RT @TeresaEdelglass: <f0><U+009F><U+0092><U+008B><f0><U+009F><U+0092><U+0084><f0><U+009F><U+008C><U+00B9>2<U+FE0F><U+20E3>2<U+FE0F><U+20E3> WOMEN<f0><U+009F><U+008C><U+00B9><f0><U+009F><U+0092><U+0084><f0><U+009F><U+0092><U+008B>

<U+270D><f0><U+009F><U+008F><U+00BB><U+270D><f0><U+009F><U+008F><U+00BE>MAKE A CASE FOR<U+270D><f0><U+009F><U+008F><U+00BD><U+270D><f0><U+009F><U+008F><U+00BC>

•••••@realDonaldTrump•••••

#VoteTrump<f0><U+009F><U+0092><U+00A5> #Election2016<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> https://t.co/KFt6…"
"733","DanieBotha","#Election2016 The People spoke @JebBush @tedcruz @marcorubio @realDonaldTrump https://t.co/oAwN5n0iHq"
"734","richmondbuzz","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"735","KnoxvilleBuzz","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"736","augustabuzz","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"737","sandiegojournal","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"738","FtWorthNews","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"739","burlingtonbuzz","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"740","denvertowns","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"741","hawaiidailynews","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"742","jm7duran","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"743","msorvaji","RT @ChakerKhazaal: Discussing @realDonaldTrump w/ @PhilAbouZeid on @WhatsApp. Entertainment on a Sunday, very suitable ;) #Election2016 http://t.co/C9dEz5j64S"
"744","mthelibrairna","RT @ChakerKhazaal: Discussing @realDonaldTrump w/ @PhilAbouZeid on @WhatsApp. Entertainment on a Sunday, very suitable ;) #Election2016 http://t.co/C9dEz5j64S"
"745","planspark","Enjoying the @realDonaldTrump New Hampshire townhall on #Hardball. ;-) #election2016"
"746","newtoriously","@realDonaldTrump New Hampshire Town Hall Recap:
https://t.co/LROUByJq8Q
#nhpolitics #Election2016"
"747","HRC4PREZ_2016","RT @nikroybal: #Election2016: how one man, @realDonaldTrump, brought down the #GOP &amp; elected @HillaryClinton"
"748","jeffnc58n","RT @JudgeJeanine: Tune in tonight for my one-on-one with @realDonaldTrump! @FoxNews 9 PM ET #Election2016 #JudgeJeanine http://t.co/bEOJ1vTISO"
"749","MattGiannino","RT @JudgeJeanine: Tune in tonight for my one-on-one with @realDonaldTrump! @FoxNews 9 PM ET #Election2016 #JudgeJeanine http://t.co/bEOJ1vTISO"
"750","smoothblink_fly","RT @JudgeJeanine: Tune in tonight for my one-on-one with @realDonaldTrump! @FoxNews 9 PM ET #Election2016 #JudgeJeanine http://t.co/bEOJ1vTISO"
"751","ImmigrantNacion","RT @ImmigranNacion: @realDonaldTrump No more hate rhetoric against minorities &amp; #Latinos! #BoycottTrump #Election2016 #TNTVote #AINF http://t.co/nAeNUWM4qv"
"752","hansel_gmail","RT @ImmigranNacion: @realDonaldTrump No more hate rhetoric against minorities &amp; #Latinos! #BoycottTrump #Election2016 #TNTVote #AINF http://t.co/nAeNUWM4qv"
"753","PeggyMercer","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"754","VamosMets","Imagine if @realDonaldTrump attacked his opponents on issues that Americans care about with same vigor #Election2016 https://t.co/WACyRPVaGb"
"755","zuanne","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"756","DaveJEvavs","RT @WhoopiGoldberg: @realDonaldTrump assume by yr tweet, u wont b gracing us here @The View but 'member its a long way to #Election2016"
"757","Kitycatklwa","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"758","FarmMarketBurCN","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"759","helenmhuang","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"760","michaeljcanada","It's a shame @realDonaldTrump couldn't take over in #canada and pummel #Harper and #Trudeau 
#Election2016 #TrumpForPresident #YoureFired"
"761","Watlizzie","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"762","absabella","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"763","HuntTammyhunt7","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"764","trumpmovie","RT @DailyOrangutan: How @realDonaldTrump campaign manager stole @GOP hubcap? http://t.co/i0K8Zsv2Yr #Trump2016 #Election2016 @cnn @FoxNews @NBCNews @ABC"
"765","DailyOrangutan","How @realDonaldTrump campaign manager stole @GOP hubcap? http://t.co/i0K8Zsv2Yr #Trump2016 #Election2016 @cnn @FoxNews @NBCNews @ABC"
"766","YeahItsMe99","I think @realDonaldTrump is the @OMAROSA of #Election2016"
"767","GJerryGeorgatos","RT @bostonherald: .@RandPaul: @realDonaldTrump setting GOP up for worst defeat since 1964 #election2016  https://t.co/895QtyRaJV http://t.co/SrKZECiE9P"
"768","OccupyBawlStree","RT @slaboe: [VIDEO] http://t.co/nho5sQTERf
@RealBenCarson on #2a @realDonaldTrump #Election2016 #BlackLivesMatter @CNN http://t.co/uud00dxe8k"
"769","RobinJohnsonCA","Hmm<U+231B><U+FE0F><U+23F3>Should Folks Look In2Report Of #Oil  #RefinerySpill<U+26FD><U+FE0F>There B4 #Election2016<f0><U+009F><U+0093><U+00BB>
@RhoaChri @Dia 
@tedcruz @realDonaldTrump @ReneeNal #NJ<f0><U+009F><U+0090><U+00A3>"
"770","spencerlguthrie","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"771","OutFrontCNN","RT @CNNgo: Next on @OutFrontCNN w/ @jimsciutto - We watch @realDonaldTrump &amp; @JebBush &amp; talk #Election2016 - LIVE 7p ET http://t.co/fUFppUa7v3"
"772","MyVoteIs4Trump","RT @atlaswon: @realDonaldTrump is the tip of the #MakeAmericaGreatAgain process. Your #vote for Mr. Trump on #election2016 is the most important step!"
"773","TylerHillWTVA","Via a friend from Mobile, Alabama! Thanks @JodyAlidor! @RobbySmith283 @realDonaldTrump #Election2016 http://t.co/YuoWVMb8RC"
"774","sunnykcollins","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"775","OrlandCa1","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"776","PreEmptivStrike","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"777","jan_pierce","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"778","LindaSuhler","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"779","atomsoffice","RT GlorysPz: #TNTvote
#AINF 
Check out what realDonaldTrump just said about #immigrationreform: http://t.co/H4aFIEID3I #Election2016 Don'…"
"780","natalied2016","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"781","ganaiadylane","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"782","bonitavapplebum","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"783","moneymorning","RT @DavidGZeiler: Considering we still have 5 months before the first vote is cast, the @realDonaldTrump -@JebBush catfight is stunning. #Election2016"
"784","election2016__","realDonaldTrump: ""bentomchik: chucktodd: is there something to learn from realDonaldTrump success? #Election2016"""
"785","ChrissStreet","RT @DahmPublishing: 'The #Trump of 1856'
http://t.co/UQbp0ntJyK #Election2016 #DonaldTrump #GOP @rnc @realDonaldTrump #Republicans #RightWingPolitics #uniteblue"
"786","WhiteHouseKey","#USAelection
#Election2016
#Key to the #WhiteHouse
for @realDonaldTrump is reserved by @magic 
to be delivered. http://t.co/dJmTE0gOzx"
"787","stephdibello","@Lessig2016 @realDonaldTrump I fav'd that for getting @lessig in the #DemocraticDebate. 4 me @CarlyFiorina won it #GOPDebate #Election2016"
"788","ForPotus","09/16/15: 2016 Presidential Election; GTM Research Reserve; City Year... http://t.co/5KEuXYecdh @RealDonaldTrump  #Election2016"
"789","skyjones55","RT @atlaswon: It's not IF @realDonaldTrump wins. Right. We know it's now BY HOW MUCH #DonaldTrump wins #election2016. He'll be in the White House soon!"
"790","gmcstockpicks","RT @DavidGZeiler: .@realDonaldTrump will unveil his tax plan in 2 weeks. But we're pretty sure what it will look like. http://t.co/UqYw9KHggM #election2016"
"791","wendyblessed629","RT @screenwriter: This is President Trump's most trusted executive in business
@realDonaldTrump @IvankaTrump 
#ImWithHer #Election2016 http…"
"792","Liberal2015","RT @JoeTWebster: @thehill it seems like everyday there's a new ""only way to beat @realDonaldTrump"" #Election2016"
"793","narlak","If &amp; after @realDonaldTrump wins #GOP nom he'll move closer to moderates like Christie to beat Hillary #Election2016 https://t.co/QQ6GswNUSp"
"794","mrd512","Well @SouthPark may have been telling the future in 2004 if its @realDonaldTrump vs @HillaryClinton #Election2016 https://t.co/DszJztq2qh"
"795","simpsreaction","Why does this sound more like @realDonaldTrump campaign slogan? @EverySimpsons #DonaldTrump #Election2016  https://t.co/D4OpVTNyVK"
"796","mychalmassie","Ask yourself why #RNC #GOP are pushing lightweight like #Rubio @realDonaldTrump @tedcruz @KathysPledge @HouseCracka #Election2016 #tcot"
"797","ThePVChamebr","RT @nwiakr: RETWEET if you are NOT voting for @realDonaldTrump. #Election2016"
"798","Enrimoney","RT @RobbiePRguy: @realDonaldTrump is running the same platform as another man with hair issues. His name Lex Luthor! #Election2016 #MakeDon…"
"799","rjBERGEx9","RT @nwiakr: RETWEET if you are NOT voting for @realDonaldTrump. #Election2016"
"800","JimmyHornII","RT @Rasmussen_Poll: #GOP Voters More Convinced Than Ever That @realDonaldTrump Is Their Guy... https://t.co/d4KUdSs5ye #Election2016"
"801","Al_Meadadi","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"802","tyeshareneexoxo","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"803","NudeBeachGoer","RT @Rasmussen_Poll: #GOP Voters More Convinced Than Ever That @realDonaldTrump Is Their Guy... https://t.co/d4KUdSs5ye #Election2016"
"804","NoTheirThere","Disavowing #DavidDuke doesn't change that these #racist #terrorists still support @realDonaldTrump #Election2016 #makedonalddrumpfagain"
"805","WizardOfOsrin","@marcorubio @realDonaldTrump Cruz is going 2 b chewing on Dumbos Ears 2 get him out of the race #Election2016  https://t.co/AOqpyG5OSu"
"806","SummerJTime","Can't wait till we can get @POTUS back out there taking on @realDonaldTrump #election2016 https://t.co/FttzJORVEe via youtube"
"807","Faulet7","#MakeDonaldDrumpfAgain #Trump #Trump2016 #Election2016 #Cruz2016 #Rubio2016 #Politician  #WTF @realDonaldTrump https://t.co/JNmBfbOzP5"
